image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
IMG_5581.JPG,IMG_5585.JPG,4000,4000,4000,1865,1611,0.8638069705093834,3.306555987701564,0.422681277767838,0.3930147831145757,0.3532220533410282,0.9992549882380364,"[[1.344266604764369e-07, 3.0529079874257356e-06, -0.0029685098700763424], [-1.9064845312230748e-06, 4.063729679864589e-07, -0.01596298750901061], [0.0025019555948268086, 0.01448201412232019, 1.0]]"
IMG_5581.JPG,IMG_5589.JPG,4000,4000,4000,1815,1495,0.8236914600550964,2.5940122569342794,0.31627791377789977,0.28538757829360184,0.24929772189836444,0.9819813606701595,"[[4.5998087341705734e-08, 8.909486308331904e-07, -0.0008150136566671882], [2.5649319173415027e-08, 5.685143830900306e-07, -0.015875331053296513], [0.0007453514849953711, 0.014370842867551095, 1.0]]"
IMG_5581.JPG,IMG_5598.JPG,4000,4000,4000,699,439,0.6280400572246065,10.097396135865733,0.7122410916207396,0.3995832072722375,0.33816825818858576,0.9900610713469848,"[[2.0058011871840124e-08, 1.0432237241090298e-06, -0.00045488381108711544], [1.9791950596076814e-06, 1.628967520916293e-07, -0.009995959678567352], [-0.0007552094083490237, 0.008227873055517178, 1.0]]"
IMG_5581.JPG,IMG_5603.JPG,4000,4000,4000,319,229,0.7178683385579937,29.949141530963047,0.5295900652013308,0.3877049806066261,0.34980604199546084,0.9992587109012314,"[[1.1477600818996488e-08, 1.5399295724590082e-06, -0.0007594395612914739], [2.0362369255995817e-06, -9.128182981081977e-09, -0.0075474375391290675], [-0.0009815072126420298, 0.0056711767501623255, 1.0]]"
IMG_5581.JPG,IMG_5607.JPG,4000,4000,4000,214,117,0.5467289719626168,48.78268106854996,0.7917816537400435,0.38767932875209854,0.39360022215333174,0.9963353932860755,"[[5.125023057014823e-08, 1.4789979278533945e-06, -0.0007996000410774176], [1.510571120348536e-06, -3.7116052753455424e-08, -0.004732123162287354], [-0.000726138776045585, 0.0029706068721159057, 1.0]]"
IMG_5581.JPG,IMG_5612.JPG,4000,4000,4000,221,131,0.5927601809954751,83.59020056935084,0.7077939441117527,0.3935159616141273,0.3900490618711162,0.9375891375781257,"[[6.140299439577292e-08, 1.3235470955018805e-06, -0.0007602798593464682], [1.1399202634216966e-06, 5.7042047406158764e-08, -0.0031488821895069405], [-0.0006085931736125922, 0.0014923357295869926, 0.9999999999999999]]"
IMG_5581.JPG,IMG_5617.JPG,4000,4000,4000,208,121,0.5817307692307693,117.51128134577665,0.7458090391666443,0.37054626600545204,0.33760640009479964,0.9541521695135317,"[[5.696882912353579e-08, 1.133225616248405e-06, -0.0006456428489867234], [1.2040830372556346e-06, 1.4678068329834771e-08, -0.0027023906130959384], [-0.0006938155706270784, 0.001210217401456912, 0.9999999999999999]]"
IMG_5581.JPG,IMG_5620.JPG,4000,4000,4000,181,102,0.56353591160221,110.65963711938987,0.7155566736450388,0.3105943704673962,0.22687378914271134,0.9187933378790031,"[[8.189020145361162e-08, 1.1382147145515755e-06, -0.000688465558494765], [1.0012080174631752e-06, 5.463023186072391e-08, -0.0022774876191264267], [-0.0005945585866131592, 0.0007632924845881314, 1.0]]"
IMG_5581.JPG,IMG_5626.JPG,4000,4000,4000,174,89,0.5114942528735632,97.29638803329505,0.8596888203358677,0.3096942204838769,0.2657620224574701,0.9449070769171811,"[[1.2053047827773098e-07, 1.0827825542499195e-06, -0.0006892810171926238], [9.093396146910211e-07, 9.750976147172153e-08, -0.0019812954434470626], [-0.0005641133802506119, 0.0005139905469794508, 1.0]]"
IMG_5585.JPG,IMG_5589.JPG,4000,4000,4000,1850,1722,0.9308108108108109,2.3127690307720146,0.22494237997829192,0.26493412437339403,0.19840899707352044,0.9778175510854948,"[[3.2964312305711704e-08, -7.392349639711185e-07, 0.005658193506822303], [2.4262953508601456e-07, 9.261258187913797e-07, -0.05017885998470938], [-0.004662364676927076, 0.0489944265377724, 1.0]]"
